id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
115,PARQUE PRIMAVERA,Sector Cereo Uno,4.1524,-73.6305,2.4,6000,2000,8000,16
116,CIUDADELA EL DIVINO NIÑO,Sector Cereo Uno,4.1497,-73.6292,2.4,6000,2000,8000,16
117,LAS FERIAS,Sector Cereo Uno,4.148,-73.6314,2.4,6000,2000,8000,16
118,GAITAN,Sector Cereo Uno,4.1456,-73.6352,2.4,6000,2000,8000,16
119,SAN GREGORIO,Sector Cereo Uno,4.1477,-73.6329,2.4,6000,2000,8000,16
120,MAIZARO,Sector Cereo Uno,4.1517,-73.6326,2.4,6000,2000,8000,16
121,"CONDOMINIO DUARY 1,2",Conjuntos Y Condoninios Sector Medio,4.1457,-73.6331,3.1,6000,3000,9000,17
122,CERRO CAMPESTRE ALTO,Conjuntos Y Condoninios Sector Medio,4.1505,-73.6373,3.1,6000,3000,9000,17
123,CERRO CAMPESTRE BAJO,Conjuntos Y Condoninios Sector Medio,4.1455,-73.631,3.1,6000,3000,9000,17
124,CONDOMINIO BOSQUES DE VIZCAYA,Conjuntos Y Condoninios Sector Medio,4.1502,-73.6333,3.1,6000,3000,9000,17
125,CONDOMINIO PORTAL DEL MOLINO,Conjuntos Y Condoninios Sector Medio,4.1461,-73.6303,3.1,6000,3000,9000,17
126,RESERVAS DEL VIZCAYA,Conjuntos Y Condoninios Sector Medio,4.1519,-73.6384,3.1,6000,3000,9000,17
127,"CONJUNTO LOS ALMENDROS 1,2",Conjuntos Y Condoninios Sector Medio,4.149,-73.6334,3.1,6000,3000,9000,17
128,CAMINOS DE SEVILLA,Conjuntos Y Condoninios Sector Medio,4.1438,-73.6372,3.1,6000,3000,9000,17
129,LLANO HERMOSO,Conjuntos Y Condoninios Sector Medio,4.1515,-73.6327,3.1,6000,3000,9000,17
130,"CONJUNTO BONNANZA 1,2",Conjuntos Y Condoninios Sector Medio,4.1492,-73.637,3.1,6000,3000,9000,17
131,RINCON DEL LLANO,Conjuntos Y Condoninios Sector Medio,4.1515,-73.6387,3.1,6000,3000,9000,17
132,TORRES DEL MEDITERRENO,Conjuntos Y Condoninios Sector Medio,4.1503,-73.6362,3.1,6000,3000,9000,17
133,TERMINAL DE TRANSPORTE,Sector Terminal,4.128,-73.629,3.8,6000,4000,10000,19
134,"QUINTA DE MORELIA 1,2,3",Sector Terminal,4.1288,-73.628,3.8,6000,4000,10000,19
135,CONDOMINIO VILLAVENTO,Sector Terminal,4.1235,-73.6325,3.8,6000,4000,10000,19
136,CONDOMINIO CIUDAD REAL,Sector Terminal,4.1296,-73.6266,3.8,6000,4000,10000,19
137,TORRES DE PRADERA,Sector Terminal,4.1267,-73.6249,3.8,6000,4000,10000,19
138,CONDOMINIO VILLA VALERIA,Sector Terminal,4.1265,-73.6269,3.8,6000,4000,10000,19
139,CONDOMINIO CANAGUAY,Sector Terminal,4.1258,-73.6316,3.8,6000,4000,10000,19
140,JARDINES DE SANTORINE,Sector Terminal,4.1307,-73.6281,3.8,6000,4000,10000,19
141,LLANO REAL CLUB HOUSE,Sector Terminal,4.128,-73.6272,3.8,6000,4000,10000,19
142,Página 669,Sector Terminal,4.1292,-73.6288,3.8,6000,4000,10000,19
143,PALMAS DE VALLARTA,Sector Terminal,4.1251,-73.6273,3.8,6000,4000,10000,19
144,CONJUNTO TERRABELA,Sector Terminal,4.1292,-73.6276,3.8,6000,4000,10000,19
145,BOSQUES DE MORELIA,Sector Terminal,4.1279,-73.6253,3.8,6000,4000,10000,19
146,"NUEVA ESPERANZA 1,2",Sector Terminal,4.1278,-73.6305,3.8,6000,4000,10000,19
147,CONDOMINIO SIENDA MANOY,Sector Terminal,4.1282,-73.6275,3.8,6000,4000,10000,19
148,QUINTAS DE SANTA CLARA,Sector Terminal,4.1244,-73.6307,3.8,6000,4000,10000,19
149,BARRIO VILLA DEL ALCARABAN,Sector Terminal,4.1312,-73.6332,3.8,6000,4000,10000,19
150,URBANIZACION CALATRABA,Sector Terminal,4.1237,-73.6323,3.8,6000,4000,10000,19
151,TERRA VERDE,Sector Terminal,4.1297,-73.6255,3.8,6000,4000,10000,19
