id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
111,HACARITAMA,Sector Cereo Uno,4.1447,-73.6386,4.5,6000,5000,11000,21
112,BARRIO PRIMAVERA,Sector Cereo Uno,4.1479,-73.636,4.5,6000,5000,11000,21
113,PARQUE PRIMAVERA,Sector Cereo Uno,4.1524,-73.6305,4.5,6000,5000,11000,21
114,CIUDADELA EL DIVINO NIÑO,Sector Cereo Uno,4.1497,-73.6292,4.5,6000,5000,11000,21
115,LAS FERIAS,Sector Cereo Uno,4.148,-73.6314,4.5,6000,5000,11000,21
116,GAITAN,Sector Cereo Uno,4.1456,-73.6352,4.5,6000,5000,11000,21
117,SAN GREGORIO,Sector Cereo Uno,4.1477,-73.6329,4.5,6000,5000,11000,21
118,MAIZARO,Sector Cereo Uno,4.1517,-73.6326,4.5,6000,5000,11000,21
119,"CONDOMINIO DUARY 1,2",Conjuntos Y Condoninios Medio,4.1457,-73.6331,4.5,6000,5000,11000,21
120,CERRO CAMPESTRE ALTO,Conjuntos Y Condoninios Medio,4.1505,-73.6373,4.5,6000,5000,11000,21
121,CERRO CAMPESTRE BAJO,Conjuntos Y Condoninios Medio,4.1455,-73.631,4.5,6000,5000,11000,21
122,CONDOMINIO BOSQUES DE,Conjuntos Y Condoninios Medio,4.15,-73.6318,4.5,6000,5000,11000,21
123,CONDOMINIO PORTAL DEL,Conjuntos Y Condoninios Medio,4.1473,-73.6353,4.5,6000,5000,11000,21
124,MOLINO,Conjuntos Y Condoninios Medio,4.145,-73.6307,4.5,6000,5000,11000,21
125,RESERVAS DEL VIZCAYA,Conjuntos Y Condoninios Medio,4.1519,-73.6384,4.5,6000,5000,11000,21
126,"CONJUNTO LOS ALMENDROS 1,2",Conjuntos Y Condoninios Medio,4.149,-73.6334,4.5,6000,5000,11000,21
127,CAMINOS DE SEVILLA,Conjuntos Y Condoninios Medio,4.1438,-73.6372,4.5,6000,5000,11000,21
128,LLANO HERMOSO,Conjuntos Y Condoninios Medio,4.1515,-73.6327,4.5,6000,5000,11000,21
129,"CONJUNTO BONNANZA 1,2",Conjuntos Y Condoninios Medio,4.1492,-73.637,4.5,6000,5000,11000,21
130,RINCON DEL LLANO,Conjuntos Y Condoninios Medio,4.1515,-73.6387,4.5,6000,5000,11000,21
131,TORRES DEL MEDITERRENO,Conjuntos Y Condoninios Medio,4.1503,-73.6362,4.5,6000,5000,11000,21
132,TERMINAL DE TRANSPORTE,Sector Terminal,4.128,-73.629,5.2,6000,6000,12000,23
133,"QUINTA DE MORELIA 1,2,3",Sector Terminal,4.1288,-73.628,5.2,6000,6000,12000,23
134,CONDOMINIO VILLAVENTO,Sector Terminal,4.1235,-73.6325,5.2,6000,6000,12000,23
135,CONDOMINIO CIUDAD REAL,Sector Terminal,4.1296,-73.6266,5.2,6000,6000,12000,23
136,Página 784,Sector Terminal,4.1285,-73.631,5.2,6000,6000,12000,23
137,TORRES DE PRADERA,Sector Terminal,4.1267,-73.6249,5.2,6000,6000,12000,23
138,CONDOMINIO VILLA VALERIA,Sector Terminal,4.1265,-73.6269,5.2,6000,6000,12000,23
139,CONDOMINIO CANAGUAY,Sector Terminal,4.1258,-73.6316,5.2,6000,6000,12000,23
140,JARDINES DE SANTORINE,Sector Terminal,4.1307,-73.6281,5.2,6000,6000,12000,23
141,LLANO REAL CLUB HOUSE,Sector Terminal,4.128,-73.6272,5.2,6000,6000,12000,23
142,PALMAS DE VALLARTA,Sector Terminal,4.1251,-73.6273,5.2,6000,6000,12000,23
143,CONJUNTO TERRABELA,Sector Terminal,4.1292,-73.6276,5.2,6000,6000,12000,23
144,BOSQUES DE MORELIA,Sector Terminal,4.1279,-73.6253,5.2,6000,6000,12000,23
