id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
111,HACARITAMA,Sector Cerca Medio,4.1447,-73.6386,3.1,6000,3000,9000,17
112,BARRIO PRIMAVERA,Sector Cerca Medio,4.1479,-73.636,3.1,6000,3000,9000,17
113,PARQUE PRIMAVERA,Sector Cerca Medio,4.1524,-73.6305,3.1,6000,3000,9000,17
114,CIUDADELA EL DIVINO NIÑO,Sector Cerca Medio,4.1497,-73.6292,3.1,6000,3000,9000,17
115,LAS FERIAS,Sector Cerca Medio,4.148,-73.6314,3.1,6000,3000,9000,17
116,Página 524,Conjuntos Y Condoninios Sector Medio,4.153,-73.6357,3.1,6000,3000,9000,17
117,GAITAN,Conjuntos Y Condoninios Sector Medio,4.1456,-73.6352,3.1,6000,3000,9000,17
118,SAN GREGORIO,Conjuntos Y Condoninios Sector Medio,4.1477,-73.6329,3.1,6000,3000,9000,17
119,MAIZARO,Conjuntos Y Condoninios Sector Medio,4.1517,-73.6326,3.1,6000,3000,9000,17
120,"CONDOMINIO DUARY 1,2",Conjuntos Y Condoninios Sector Medio,4.1457,-73.6331,3.1,6000,3000,9000,17
121,CERRO CAMPESTRE ALTO,Conjuntos Y Condoninios Sector Medio,4.1505,-73.6373,3.1,6000,3000,9000,17
122,CERRO CAMPESTRE BAJO,Conjuntos Y Condoninios Sector Medio,4.1455,-73.631,3.1,6000,3000,9000,17
123,CONDOMINIO BOSQUES DE VIZCAYA,Conjuntos Y Condoninios Sector Medio,4.1502,-73.6333,3.1,6000,3000,9000,17
124,CONDOMINIO PORTAL DEL MOLINO,Conjuntos Y Condoninios Sector Medio,4.1461,-73.6303,3.1,6000,3000,9000,17
125,RESERVAS DEL VIZCAYA,Conjuntos Y Condoninios Sector Medio,4.1519,-73.6384,3.1,6000,3000,9000,17
126,"CONJUNTO LOS ALMENDROS 1,2",Conjuntos Y Condoninios Sector Medio,4.149,-73.6334,3.1,6000,3000,9000,17
127,CAMINOS DE SEVILLA,Sector Terminal,4.123,-73.6323,3.8,6000,4000,10000,19
128,LLANO HERMOSO,Sector Terminal,4.1307,-73.6278,3.8,6000,4000,10000,19
129,"CONJUNTO BONNANZA 1,2",Sector Terminal,4.1284,-73.6321,3.8,6000,4000,10000,19
130,RINCON DEL LLANO,Sector Terminal,4.1307,-73.6338,3.8,6000,4000,10000,19
131,TORRES DEL MEDITERRENO,Sector Terminal,4.1295,-73.6313,3.8,6000,4000,10000,19
132,TERMINAL DE TRANSPORTE,Sector Terminal,4.128,-73.629,3.8,6000,4000,10000,19
133,"QUINTA DE MORELIA 1,2,3",Sector Terminal,4.1288,-73.628,3.8,6000,4000,10000,19
134,CONDOMINIO VILLAVENTO,Sector Terminal,4.1235,-73.6325,3.8,6000,4000,10000,19
135,CONDOMINIO CIUDAD REAL,Sector Terminal,4.1296,-73.6266,3.8,6000,4000,10000,19
136,TORRES DE PRADERA,Sector Terminal,4.1267,-73.6249,3.8,6000,4000,10000,19
137,CONDOMINIO VILLA VALERIA,Sector Terminal,4.1265,-73.6269,3.8,6000,4000,10000,19
138,CONDOMINIO CANAGUAY,Sector Terminal,4.1258,-73.6316,3.8,6000,4000,10000,19
139,JARDINES DE SANTORINE,Sector Terminal,4.1307,-73.6281,3.8,6000,4000,10000,19
140,LLANO REAL CLUB HOUSE,Sector Terminal,4.128,-73.6272,3.8,6000,4000,10000,19
141,PALMAS DE VALLARTA,Sector Terminal,4.1251,-73.6273,3.8,6000,4000,10000,19
142,CONJUNTO TERRABELA,Sector Terminal,4.1292,-73.6276,3.8,6000,4000,10000,19
143,BOSQUES DE MORELIA,Sector Terminal,4.1279,-73.6253,3.8,6000,4000,10000,19
144,"NUEVA ESPERANZA 1,2",Sector Terminal,4.1278,-73.6305,3.8,6000,4000,10000,19
145,CONDOMINIO SIENDA MANOY,Sector Terminal,4.1282,-73.6275,3.8,6000,4000,10000,19
146,QUINTAS DE SANTA CLARA,Sector Terminal,4.1244,-73.6307,3.8,6000,4000,10000,19
147,BARRIO VILLA DEL ALCARABAN,Sector Terminal,4.1312,-73.6332,3.8,6000,4000,10000,19
148,URBANIZACION CALATRABA,Sector Amarilo,4.1037,-73.6083,7.3,6000,9000,15000,28
149,TERRA VERDE,Sector Amarilo,4.1097,-73.6015,7.3,6000,9000,15000,28
150,ALAMEDA DEL BOSQUE,Sector Amarilo,4.1495,-73.631,7.3,6000,9000,15000,28
151,Página 525,Sector Amarilo,4.1067,-73.6005,7.3,6000,9000,15000,28
152,REMANSOS DEL LLANO,Sector Amarilo,4.1081,-73.6026,7.3,6000,9000,15000,28
153,SAN GERARDO,Sector Amarilo,4.11,-73.6099,7.3,6000,9000,15000,28
154,TERRA VELA,Sector Amarilo,4.1051,-73.6008,7.3,6000,9000,15000,28
155,AMARILO MORICHAL,Sector Amarilo,4.108,-73.605,7.3,6000,9000,15000,28
156,AMARILO CIMARON,Sector Amarilo,4.108,-73.605,7.3,6000,9000,15000,28
157,AMARILO ALBORADA,Sector Amarilo,4.108,-73.605,7.3,6000,9000,15000,28
158,AMARILO PIEDEMONTE,Sector Amarilo,4.108,-73.605,7.3,6000,9000,15000,28
159,AMARILO ARAUCO,Sector Amarilo,4.108,-73.605,7.3,6000,9000,15000,28
160,AMARILO ZAINOS,Sector Amarilo,4.108,-73.605,7.3,6000,9000,15000,28
161,"AMARILO PASOLLONO 1,2,3,4",Sector Amarilo,4.108,-73.605,7.3,6000,9000,15000,28
162,AMARILO ALCARABN,Sector Amarilo,4.108,-73.605,7.3,6000,9000,15000,28
163,AMARILO MAPIRE,Sector Amarilo,4.108,-73.605,7.3,6000,9000,15000,28
164,AMARILO OCARROS,Sector Amarilo,4.108,-73.605,7.3,6000,9000,15000,28
165,AMARILO ARBOLEDA CAMPESTRE,Sector Amarilo,4.108,-73.605,7.3,6000,9000,15000,28
166,AMARILO PRADO VERDE,Sector Amarilo,4.108,-73.605,5.9,6000,7000,13000,24
167,AMARILO ARBOLEDA CAMPESTRE IV,Sector Amarilo,4.108,-73.605,5.9,6000,7000,13000,24
168,"AMARILO LLANO ALTO 1,2,3,4",Sector Amarilo,4.108,-73.605,5.9,6000,7000,13000,24
169,VILLA HERMOSA,Sector Amarilo,4.1117,-73.6067,8.0,6000,10000,16000,30
170,CONDOMINIO CAMPSTRE CARACOLI,Sector Amarilo,4.1042,-73.6046,8.0,6000,10000,16000,30
171,GIMNASIO LOS ALCAZARES,Sector Amarilo,4.1116,-73.601,8.7,6000,11000,17000,31
172,LAS MERCEDES,Sector Los Centauros,4.1098,-73.6117,6.6,6000,8000,14000,26
173,MULTIFAMILIARES CENTAUROS,Sector Los Centauros,4.1118,-73.6094,6.6,6000,8000,14000,26
174,"BLOQUE A,B,C,D",Sector Los Centauros,4.1083,-73.6079,6.6,6000,8000,14000,26
175,PORTALES DE GRATAMIRA,Sector Los Centauros,4.1122,-73.6074,6.6,6000,8000,14000,26
176,BALCONES DE GRATAMIRA,Sector Los Centauros,4.1082,-73.6135,6.6,6000,8000,14000,26
177,"TORRES DE SALERMO 1,2",Sector Los Centauros,4.1141,-73.6111,6.6,6000,8000,14000,26
178,CONDOMINIO SANTA ANA,Sector Los Centauros,4.1165,-73.6093,6.6,6000,8000,14000,26
179,CONDOMINIO LA FONTANA,Sector Los Centauros,4.1143,-73.6131,6.6,6000,8000,14000,26
180,CONDOMINIO SANTA PAULA,Sector Los Centauros,4.1079,-73.6091,6.6,6000,8000,14000,26
181,PRADOS DE MARICURE,Sector Los Centauros,4.1078,-73.6079,6.6,6000,8000,14000,26
182,UNIVERSIDAD UNIMINUTO,Sector Los Centauros,4.1123,-73.6113,6.6,6000,8000,14000,26
183,CANCHA SINTETICA QUARZO,Sector Los Centauros,4.1146,-73.6146,6.6,6000,8000,14000,26
184,RENAUULT CASATORO,Sector Los Centauros,4.1135,-73.6097,6.6,6000,8000,14000,26
185,CHEVROLET,Sector Los Centauros,4.1074,-73.6075,6.6,6000,8000,14000,26
186,Página 526,Sector Los Centauros,4.1147,-73.6072,6.6,6000,8000,14000,26
187,NISSAN,Sector Los Centauros,4.1079,-73.612,6.6,6000,8000,14000,26
188,SUZUKI ALCALA MOTOR,Sector Los Centauros,4.1133,-73.6147,6.6,6000,8000,14000,26
189,CANCHA MONACO,Sector Los Centauros,4.1086,-73.6136,6.6,6000,8000,14000,26
190,BAR TERRAZA,Sector Los Centauros,4.116,-73.6066,6.6,6000,8000,14000,26
