id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
80,PORTAL DEL CANAIMA,Sector Cerca Medio,4.1526,-73.6329,3.1,6000,3000,9000,17
81,SAN ISIDRO,Sector Cerca Medio,4.1512,-73.6345,3.1,6000,3000,9000,17
82,SANTA INES,Sector Cerca Medio,4.1509,-73.6339,3.1,6000,3000,9000,17
83,HOTEL ROSADO,Sector Cerca Medio,4.1456,-73.6357,3.1,6000,3000,9000,17
84,VILLA DEL SOL,Sector Cerca Medio,4.1443,-73.6354,3.1,6000,3000,9000,17
85,LA MORGUE,Sector Cerca Medio,4.1447,-73.6377,3.1,6000,3000,9000,17
86,SAN MARCOS,Sector Cerca Medio,4.1455,-73.6313,3.1,6000,3000,9000,17
87,CONJUNTO TOSCANA,Sector Cerca Medio,4.1453,-73.6291,3.1,6000,3000,9000,17
88,QUINTAS DE TOSCANA,Sector Cerca Medio,4.1471,-73.6372,3.1,6000,3000,9000,17
89,FLORIDA,Sector Cerca Medio,4.1534,-73.6352,3.1,6000,3000,9000,17
90,NUEVA FLORESTA,Sector Cerca Medio,4.1515,-73.6362,3.1,6000,3000,9000,17
91,TEUSACA,Sector Cerca Medio,4.15,-73.6363,3.1,6000,3000,9000,17
92,EMBUDO,Sector Cerca Medio,4.1478,-73.6304,3.1,6000,3000,9000,17
93,SANBENITO,Sector Cerca Medio,4.1438,-73.6315,3.1,6000,3000,9000,17
94,NUEVO RICAUTE,Sector Cerca Medio,4.145,-73.6323,3.1,6000,3000,9000,17
95,PORVENIR,Sector Cerca Medio,4.1532,-73.6355,3.1,6000,3000,9000,17
96,VEINTE DE JULIO,Sector Cerca Medio,4.1473,-73.6358,3.1,6000,3000,9000,17
97,SIMON BOLIVAR,Sector Cerca Medio,4.1515,-73.6375,3.1,6000,3000,9000,17
98,ANTONIO RICAUTE,Sector Cerca Medio,4.152,-73.6332,3.1,6000,3000,9000,17
99,BARRIO NOGALES,Sector Cerca Medio,4.1475,-73.633,3.1,6000,3000,9000,17
100,Página 474,Sector Cereo 01,4.1519,-73.6339,2.4,6000,2000,8000,16
101,CANEY,Sector Cereo 01,4.1468,-73.6318,2.4,6000,2000,8000,16
102,BRISAS DEL CANEY,Sector Cereo 01,4.1468,-73.6318,2.4,6000,2000,8000,16
103,AMARAL,Sector Cereo 01,4.1441,-73.6389,2.4,6000,2000,8000,16
104,CATATUMBO,Sector Cereo 01,4.1464,-73.6336,2.4,6000,2000,8000,16
105,RETIRO,Sector Cereo 01,4.1448,-73.6327,2.4,6000,2000,8000,16
106,BUENOS AIRES,Sector Cereo 01,4.1442,-73.6359,2.4,6000,2000,8000,16
107,REMANSO,Sector Cereo 01,4.1499,-73.6353,2.4,6000,2000,8000,16
108,VIZCAYA,Sector Cereo 01,4.1522,-73.6291,2.4,6000,2000,8000,16
109,HOTEL HACARITAMA COLONIAL,Sector Cereo 01,4.1466,-73.6337,2.4,6000,2000,8000,16
110,CANCHA RANCING,Sector Cereo 01,4.1524,-73.6303,2.4,6000,2000,8000,16
111,HACARITAMA,Sector Cereo 01,4.1447,-73.6386,2.4,6000,2000,8000,16
112,BARRIO PRIMAVERA,Sector Cereo 01,4.1479,-73.636,2.4,6000,2000,8000,16
113,PARQUE PRIMAVERA,Sector Cereo 01,4.1524,-73.6305,2.4,6000,2000,8000,16
114,CIUDADELA EL DIVINO NIÑO,Sector Cereo 01,4.1497,-73.6292,2.4,6000,2000,8000,16
115,LAS FERIAS,Sector Cereo 01,4.148,-73.6314,2.4,6000,2000,8000,16
116,GAITAN,Sector Cereo 01,4.1456,-73.6352,2.4,6000,2000,8000,16
117,SAN GREGORIO,Sector Cereo 01,4.1477,-73.6329,2.4,6000,2000,8000,16
118,MAIZARO,Sector Cereo 01,4.1517,-73.6326,2.4,6000,2000,8000,16
119,MEDIO,Conjuntos Y Condoninios Sector,4.1483,-73.6365,3.1,6000,3000,9000,17
120,"CONDOMINIO DUARY 1,2",Conjuntos Y Condoninios Sector,4.1457,-73.6331,3.1,6000,3000,9000,17
121,CERRO CAMPESTRE ALTO,Conjuntos Y Condoninios Sector,4.1505,-73.6373,3.1,6000,3000,9000,17
122,CERRO CAMPESTRE BAJO,Conjuntos Y Condoninios Sector,4.1455,-73.631,3.1,6000,3000,9000,17
123,CONDOMINIO BOSQUES DE,Conjuntos Y Condoninios Sector,4.15,-73.6318,3.1,6000,3000,9000,17
124,CONDOMINIO PORTAL DEL,Conjuntos Y Condoninios Sector,4.1473,-73.6353,3.1,6000,3000,9000,17
125,MOLINO,Conjuntos Y Condoninios Sector,4.145,-73.6307,3.1,6000,3000,9000,17
126,RESERVAS DEL VIZCAYA,Conjuntos Y Condoninios Sector,4.1519,-73.6384,3.1,6000,3000,9000,17
127,"CONJUNTO LOS ALMENDROS 1,2",Sector Terminal,4.1282,-73.6285,3.8,6000,4000,10000,19
128,CAMINOS DE SEVILLA,Sector Terminal,4.123,-73.6323,3.8,6000,4000,10000,19
129,LLANO HERMOSO,Sector Terminal,4.1307,-73.6278,3.8,6000,4000,10000,19
130,"CONJUNTO BONNANZA 1,2",Sector Terminal,4.1284,-73.6321,3.8,6000,4000,10000,19
131,RINCON DEL LLANO,Sector Terminal,4.1307,-73.6338,3.8,6000,4000,10000,19
132,Página 475,Sector Terminal,4.1315,-73.6297,3.8,6000,4000,10000,19
133,TORRES DEL MEDITERRENO,Sector Terminal,4.1295,-73.6313,3.8,6000,4000,10000,19
134,TERMINAL DE TRANSPORTE,Sector Terminal,4.128,-73.629,3.8,6000,4000,10000,19
135,"QUINTA DE MORELIA 1,2,3",Sector Terminal,4.1288,-73.628,3.8,6000,4000,10000,19
136,CONDOMINIO VILLAVENTO,Sector Terminal,4.1235,-73.6325,3.8,6000,4000,10000,19
137,CONDOMINIO CIUDAD REAL,Sector Terminal,4.1296,-73.6266,3.8,6000,4000,10000,19
138,TORRES DE PRADERA,Sector Terminal,4.1267,-73.6249,3.8,6000,4000,10000,19
139,CONDOMINIO VILLA VALERIA,Sector Terminal,4.1265,-73.6269,3.8,6000,4000,10000,19
140,CONDOMINIO CANAGUAY,Sector Terminal,4.1258,-73.6316,3.8,6000,4000,10000,19
141,JARDINES DE SANTORINE,Sector Terminal,4.1307,-73.6281,3.8,6000,4000,10000,19
142,LLANO REAL CLUB HOUSE,Sector Terminal,4.128,-73.6272,3.8,6000,4000,10000,19
143,PALMAS DE VALLARTA,Sector Terminal,4.1251,-73.6273,3.8,6000,4000,10000,19
144,CONJUNTO TERRABELA,Sector Terminal,4.1292,-73.6276,3.8,6000,4000,10000,19
145,BOSQUES DE MORELIA,Sector Terminal,4.1279,-73.6253,3.8,6000,4000,10000,19
146,"NUEVA ESPERANZA 1,2",Sector Terminal,4.1278,-73.6305,3.8,6000,4000,10000,19
147,CONDOMINIO SIENDA MANOY,Sector Terminal,4.1282,-73.6275,3.8,6000,4000,10000,19
148,QUINTAS DE SANTA CLARA,Sector Terminal,4.1244,-73.6307,3.8,6000,4000,10000,19
149,BARRIO VILLA DEL ALCARABAN,Sector Amarilo,4.1112,-73.6092,6.6,6000,8000,14000,26
150,URBANIZACION CALATRABA,Sector Amarilo,4.1037,-73.6083,6.6,6000,8000,14000,26
151,TERRA VERDE,Sector Amarilo,4.1097,-73.6015,6.6,6000,8000,14000,26
152,ALAMEDA DEL BOSQUE,Sector Amarilo,4.1495,-73.631,6.6,6000,8000,14000,26
