id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
150,TERRA VERDE,Sector Terminal,4.1297,-73.6255,8.7,6000,11000,17000,31
151,ALAMEDA DEL BOSQUE,Sector Terminal,4.1495,-73.631,8.7,6000,11000,17000,31
152,REMANSOS DEL LLANO,Sector Terminal,4.1281,-73.6266,8.7,6000,11000,17000,31
153,SAN GERARDO,Sector Terminal,4.13,-73.6339,8.7,6000,11000,17000,31
154,TERRA VELA,Sector Terminal,4.1251,-73.6248,8.7,6000,11000,17000,31
155,Página 739,Sector Amarilo,4.1033,-73.6038,9.4,6000,12000,18000,33
156,AMARILO MORICHAL,Sector Amarilo,4.108,-73.605,9.4,6000,12000,18000,33
157,AMARILO CIMARON,Sector Amarilo,4.108,-73.605,9.4,6000,12000,18000,33
158,AMARILO ALBORADA,Sector Amarilo,4.108,-73.605,9.4,6000,12000,18000,33
159,AMARILO PIEDEMONTE,Sector Amarilo,4.108,-73.605,9.4,6000,12000,18000,33
160,AMARILO ARAUCO,Sector Amarilo,4.108,-73.605,9.4,6000,12000,18000,33
161,AMARILO ZAINOS,Sector Amarilo,4.108,-73.605,9.4,6000,12000,18000,33
162,"AMARILO PASOLLONO 1,2,3,4",Sector Amarilo,4.108,-73.605,9.4,6000,12000,18000,33
163,AMARILO ALCARABN,Sector Amarilo,4.108,-73.605,9.4,6000,12000,18000,33
164,AMARILO MAPIRE,Sector Amarilo,4.108,-73.605,9.4,6000,12000,18000,33
165,AMARILO OCARROS,Sector Amarilo,4.108,-73.605,9.4,6000,12000,18000,33
166,AMARILO ARBOLEDA,Sector Amarilo,4.108,-73.605,9.4,6000,12000,18000,33
167,CAMPESTRE,Sector Amarilo,4.1107,-73.6071,9.4,6000,12000,18000,33
168,AMARILO PRADO VERDE,Sector Amarilo,4.108,-73.605,9.4,6000,12000,18000,33
169,CAMPESTRE IV 4,Sector Amarilo,4.1113,-73.608,9.4,6000,12000,18000,33
170,"AMARILO LLANO ALTO 1,2,3,4",Sector Amarilo,4.108,-73.605,9.4,6000,12000,18000,33
171,VILLA HERMOSA,Sector Amarilo,4.1117,-73.6067,9.4,6000,12000,18000,33
172,CONDOMINIO CAMPSTRE,Sector Amarilo,4.1055,-73.6046,9.4,6000,12000,18000,33
173,CARACOLI,Sector Amarilo,4.111,-73.6002,9.4,6000,12000,18000,33
174,GIMNASIO LOS ALCAZARES,Sector Amarilo,4.1116,-73.601,9.4,6000,12000,18000,33
175,LAS MERCEDES,Sector Amarilo,4.1058,-73.6067,9.4,6000,12000,18000,33
176,MULTIFAMILIARES CENTAUROS,Sector Los Centauros,4.1118,-73.6094,8.7,6000,11000,17000,31
177,"BLOQUE A,B,C,D",Sector Los Centauros,4.1083,-73.6079,8.7,6000,11000,17000,31
178,PORTALES DE GRATAMIRA,Sector Los Centauros,4.1122,-73.6074,8.7,6000,11000,17000,31
179,BALCONES DE GRATAMIRA,Sector Los Centauros,4.1082,-73.6135,8.7,6000,11000,17000,31
180,"TORRES DE SALERMO 1,2",Sector Los Centauros,4.1141,-73.6111,8.7,6000,11000,17000,31
181,CONDOMINIO SANTA ANA,Sector Los Centauros,4.1165,-73.6093,8.7,6000,11000,17000,31
182,CONDOMINIO LA FONTANA,Sector Los Centauros,4.1143,-73.6131,8.7,6000,11000,17000,31
183,CONDOMINIO SANTA PAULA,Sector Los Centauros,4.1079,-73.6091,8.7,6000,11000,17000,31
184,PRADOS DE MARICURE,Sector Los Centauros,4.1078,-73.6079,8.7,6000,11000,17000,31
185,UNIVERSIDAD UNIMINUTO,Sector Los Centauros,4.1123,-73.6113,8.7,6000,11000,17000,31
186,CANCHA SINTETICA QUARZO,Sector Los Centauros,4.1146,-73.6146,8.7,6000,11000,17000,31
187,RENAUULT CASATORO,Sector Los Centauros,4.1135,-73.6097,8.7,6000,11000,17000,31
188,CHEVROLET,Sector Los Centauros,4.1074,-73.6075,8.7,6000,11000,17000,31
189,NISSAN,Sector Los Centauros,4.1079,-73.612,8.7,6000,11000,17000,31
190,SUZUKI ALCALA MOTOR,Sector Los Centauros,4.1133,-73.6147,8.7,6000,11000,17000,31
191,CANCHA MONACO,Sector Los Centauros,4.1086,-73.6136,8.7,6000,11000,17000,31
192,BAR TERRAZA,Sector Los Centauros,4.116,-73.6066,8.7,6000,11000,17000,31
