sector,barrio,tarifa_base,tarifa_total,tiempo_estimado,distancia_aprox_km
SECTOR SUR ROCHELA,ROCHELA,16000,16000,25-35 min,9.2
SECTOR SUR ROCHELA,ELIGRO,13000,13000,25-35 min,7.2
SECTOR OLLAS PELIGRO,SAN JOSE,8000,8000,25-35 min,3.8
SECTOR OLLAS PELIGRO,EL DIKE,8000,8000,25-35 min,3.8
SECTOR OLLAS PELIGRO,SANTA FE,13000,13000,25-35 min,7.2
SECTOR OLLAS PELIGRO,BRISAS DEL GUATIQUIA,9000,9000,25-35 min,4.5
SECTOR OLLAS PELIGRO,SIMON BOLIVAR,16000,16000,25-35 min,9.2
SECTOR OLLAS PELIGRO,$ 20.000,20000,20000,25-35 min,11.8
SECTOR PORFIA,$ 22.000,22000,22000,25-35 min,13.2
SECTOR PORFIA,$ 23.000,18000,18000,25-35 min,10.5
SECTOR PORFIA,CIUDAD PORFIA,16000,16000,25-35 min,9.2
SECTOR PORFIA,$ 25.000,23000,23000,25-35 min,13.8
SECTOR PORFIA,$ 30.000,25000,25000,25-35 min,15.2
SECTOR SALIDA PUERTO LOPEZ,L CAIRO,25000,25000,25-35 min,15.2
SECTOR SALIDA PUERTO LOPEZ,HACHON SENA,15000,15000,25-35 min,8.5
SECTOR SALIDA PUERTO LOPEZ,AEROPUERTO,20000,20000,25-35 min,11.8
SECTOR VEREDA EL CAIRO,TRO,22000,22000,25-35 min,13.2
SECTOR VEREDA EL CAIRO,CONDOMINIO LA QUINTA CAIRO,10000,10000,25-35 min,5.2
SECTOR VEREDA EL CAIRO,CENTRO COMERCIAL UNICO,10000,10000,25-35 min,5.2
SECTOR HOTELERO VIA MARACOS,HOTEL RUBIALES,8000,8000,25-35 min,3.8
SECTOR CENTRO,HOTEL EL TERMINAL,8000,8000,25-35 min,3.8
SECTOR CENTRO,LANO LINDO,9000,9000,25-35 min,4.5
SECTOR HOTELERO LLANO LINDO,HOTEL VIMAR,12000,12000,25-35 min,6.5
SECTOR HOTELERO BARSAL,HOTEL GHL,10000,10000,25-35 min,5.2
SECTOR HOTELERO BARSAL,MOTEL PASHA,22000,22000,25-35 min,13.2
SECTOR UNIVERSIDADES,UNIVERSIDAD DE LOS LLANOS EMPORIO,9000,9000,25-35 min,4.5
SECTOR DE COLEGIOS,BLICAS,9000,9000,25-35 min,4.5
SECTOR PARQUES,$ 7.000,9000,9000,25-35 min,4.5
SECTOR PARQUES,PAQUE FUNDADORES,10000,10000,25-35 min,5.2
SECTOR PARQUES,RECREACION,23000,23000,25-35 min,13.8
SECTOR PARQUES,RESTAUTES,11000,11000,25-35 min,5.8
SECTOR BANCARIO DEL CENTRO,BANCO AGRARIO CENTRO,10000,10000,25-35 min,5.2
