id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
160,AMARILO MORICHAL,Sector Amarilo,4.108,-73.605,7.3,6000,9000,15000,28
161,Página 192,Sector Amarilo,4.1082,-73.6047,7.3,6000,9000,15000,28
162,AMARILO CIMARON,Sector Amarilo,4.108,-73.605,7.3,6000,9000,15000,28
163,AMARILO ALBORADA,Sector Amarilo,4.108,-73.605,7.3,6000,9000,15000,28
164,AMARILO PIEDEMONTE,Sector Amarilo,4.108,-73.605,7.3,6000,9000,15000,28
165,AMARILO ARAUCO,Sector Amarilo,4.108,-73.605,7.3,6000,9000,15000,28
166,AMARILO ZAINOS,Sector Amarilo,4.108,-73.605,7.3,6000,9000,15000,28
167,"AMARILO PASOLLONO 1,2,3,4",Sector Amarilo,4.108,-73.605,7.3,6000,9000,15000,28
168,AMARILO ALCARABN,Sector Amarilo,4.108,-73.605,7.3,6000,9000,15000,28
169,AMARILO MAPIRE,Sector Amarilo,4.108,-73.605,5.9,6000,7000,13000,24
170,AMARILO OCARROS,Sector Amarilo,4.108,-73.605,5.9,6000,7000,13000,24
171,AMARILO ARBOLEDA CAMPESTRE,Sector Amarilo,4.108,-73.605,5.9,6000,7000,13000,24
172,AMARILO PRADO VERDE,Sector Amarilo,4.108,-73.605,5.9,6000,7000,13000,24
173,IV 4,Sector Amarilo,4.1106,-73.6005,5.9,6000,7000,13000,24
174,"AMARILO LLANO ALTO 1,2,3,4",Sector Amarilo,4.108,-73.605,5.9,6000,7000,13000,24
175,VILLA HERMOSA,Sector Amarilo,4.1117,-73.6067,8.0,6000,10000,16000,30
176,CONDOMINIO CAMPSTRE,Sector Amarilo,4.1055,-73.6046,8.0,6000,10000,16000,30
177,CARACOLI,Sector Amarilo,4.111,-73.6002,8.0,6000,10000,16000,30
178,GIMNASIO LOS ALCAZARES,Sector Amarilo,4.1116,-73.601,8.0,6000,10000,16000,30
179,Página 193,Sector Amarilo,4.1104,-73.603,12.9,6000,17000,23000,42
180,LAS MERCEDES,Sector Los Centauros,4.1098,-73.6117,6.6,6000,8000,14000,26
181,MULTIFAMILIARES CENTAUROS,Sector Los Centauros,4.1118,-73.6094,6.6,6000,8000,14000,26
182,"BLOQUE A,B,C,D",Sector Los Centauros,4.1083,-73.6079,6.6,6000,8000,14000,26
183,PORTALES DE GRATAMIRA,Sector Los Centauros,4.1122,-73.6074,6.6,6000,8000,14000,26
184,BALCONES DE GRATAMIRA,Sector Los Centauros,4.1082,-73.6135,6.6,6000,8000,14000,26
185,"TORRES DE SALERMO 1,2",Sector Los Centauros,4.1141,-73.6111,6.6,6000,8000,14000,26
186,CONDOMINIO SANTA ANA,Sector Los Centauros,4.1165,-73.6093,5.9,6000,7000,13000,24
187,CONDOMINIO LA FONTANA,Sector Los Centauros,4.1143,-73.6131,5.9,6000,7000,13000,24
188,CONDOMINIO SANTA PAULA,Sector Los Centauros,4.1079,-73.6091,5.9,6000,7000,13000,24
189,PRADOS DE MARICURE,Sector Los Centauros,4.1078,-73.6079,5.9,6000,7000,13000,24
190,UNIVERSIDAD UNIMINUTO,Sector Los Centauros,4.1123,-73.6113,5.9,6000,7000,13000,24
191,CANCHA SINTETICA QUARZO,Sector Los Centauros,4.1146,-73.6146,5.9,6000,7000,13000,24
192,RENAUULT CASATORO,Sector Los Centauros,4.1135,-73.6097,5.9,6000,7000,13000,24
193,CHEVROLET,Sector Los Centauros,4.1074,-73.6075,5.9,6000,7000,13000,24
194,NISSAN,Sector Los Centauros,4.1079,-73.612,5.9,6000,7000,13000,24
195,Página 194,Sector Los Centauros,4.1161,-73.6087,5.2,6000,6000,12000,23
196,SUZUKI ALCALA MOTOR,Sector Los Centauros,4.1133,-73.6147,5.2,6000,6000,12000,23
197,CANCHA MONACO,Sector Los Centauros,4.1086,-73.6136,5.9,6000,7000,13000,24
198,BAR TERRAZA,Sector Los Centauros,4.116,-73.6066,5.2,6000,6000,12000,23
199,7 DE AGOSTO,Sector Barzal,4.1469,-73.64,3.1,6000,3000,9000,17
200,BARZAL BAJO,Sector Barzal,4.1442,-73.6365,3.8,6000,4000,10000,19
201,BARZAL ALTO,Sector Barzal,4.1435,-73.6375,3.8,6000,4000,10000,19
202,CLUB VILLAVICENCIO,Sector Barzal,4.1462,-73.6342,5.9,6000,7000,13000,24
203,MESETAS,Sector Barzal,4.1401,-73.6375,3.8,6000,4000,10000,19
204,ELECTRIFICADORA EMSA,Sector Barzal,4.1455,-73.6334,3.8,6000,4000,10000,19
205,BALATA,Sector Barzal,4.1487,-73.6389,3.8,6000,4000,10000,19
206,CAMOA,Sector Barzal,4.1415,-73.6414,3.8,6000,4000,10000,19
207,SALLE,Sector Barzal,4.1435,-73.6326,3.8,6000,4000,10000,19
208,POZO VEIENTE,Sector Barzal,4.1485,-73.6321,3.8,6000,4000,10000,19
209,RECODO BARZAL,Sector Barzal,4.1442,-73.6365,5.2,6000,6000,12000,23
210,AZOTEA,Sector Salud Barzal,4.1484,-73.6378,3.8,6000,4000,10000,19
211,HOSPITAL DEPARTAMENTAL,Sector Salud Barzal,4.1398,-73.6378,3.8,6000,4000,10000,19
212,HOSPITAL DE LA GENTE,Sector Salud Barzal,4.1451,-73.636,3.8,6000,4000,10000,19
213,LIGA CONTRA EL CANCER,Sector Salud Barzal,4.1416,-73.6335,3.1,6000,3000,9000,17
214,SOMOS,Sector Salud Barzal,4.1474,-73.6333,3.1,6000,3000,9000,17
215,Página 195,Sector Salud Barzal,4.1405,-73.6399,3.1,6000,3000,9000,17
216,CLINICA PRIMAVERA,Sector Salud Barzal,4.1458,-73.6341,3.1,6000,3000,9000,17
217,CLINICA META,Sector Salud Barzal,4.1459,-73.6341,3.1,6000,3000,9000,17
218,NUEVA CLINICA BARZAL,Sector Salud Barzal,4.1442,-73.6365,3.1,6000,3000,9000,17
219,SERVIMEDICOS,Sector Salud Barzal,4.1478,-73.6365,3.1,6000,3000,9000,17
220,SANITAS,Sector Salud Barzal,4.143,-73.6323,3.1,6000,3000,9000,17
221,CAJACOPI BARZAL,Sector Salud Barzal,4.1442,-73.6365,4.5,6000,5000,11000,21
222,CLINICA CARDIOVASCULAR,Sector Salud Barzal,4.141,-73.6316,4.5,6000,5000,11000,21
223,SALUDA TOTAL,Sector Salud Barzal,4.1405,-73.6408,4.5,6000,5000,11000,21
224,CAPILLAS DE LA FE,Sector Salud Barzal,4.1392,-73.6403,4.5,6000,5000,11000,21
225,IPS MONTANO MEDICAL BUQUE,Sector Salud Barzal,4.135,-73.642,4.5,6000,5000,11000,21
226,IPS CUIDAR BUQUE,Sector Salud Barzal,4.135,-73.642,4.5,6000,5000,11000,21
227,IPS CENTRO MERDICO DE,Sector Salud Barzal,4.1488,-73.6339,4.5,6000,5000,11000,21
228,REHABULITACION,Sector Salud Barzal,4.1467,-73.6339,4.5,6000,5000,11000,21
229,IPS CENTRO TERAPEUTICO,Sector Salud Barzal,4.1488,-73.6339,4.5,6000,5000,11000,21
230,INTEGRAL,Sector Salud Barzal,4.1406,-73.6319,4.5,6000,5000,11000,21
231,LABORATORIO CLINICO,Sector Salud Barzal,4.1392,-73.6344,4.5,6000,5000,11000,21
232,UNIDAD AMBULATORIA DE ALTA,Sector Salud Barzal,4.1401,-73.6413,4.5,6000,5000,11000,21
233,COMPLEJI,Sector Salud Barzal,4.1415,-73.64,4.5,6000,5000,11000,21
234,Página 196,Sector Salud Barzal,4.1441,-73.6358,3.1,6000,3000,9000,17
235,IPS MULTISALUD,Sector Salud Barzal,4.1439,-73.6409,3.1,6000,3000,9000,17
236,IPS PREVIS,Sector Salud Barzal,4.1404,-73.6322,3.1,6000,3000,9000,17
237,IPS REHABILITAR,Sector Salud Barzal,4.1458,-73.6398,3.8,6000,4000,10000,19
238,IPS SANTA BARBARA,Sector Salud Barzal,4.1451,-73.6379,3.8,6000,4000,10000,19
239,CLINICA OCULAR BUQUE,Sector Salud Barzal,4.135,-73.642,3.8,6000,4000,10000,19
240,EMPORIO,Sector Grama,4.1569,-73.6424,3.8,6000,4000,10000,19
241,TRIUNFO,Sector Grama,4.1601,-73.6397,3.8,6000,4000,10000,19
242,GALAN,Sector Grama,4.1539,-73.6387,3.8,6000,4000,10000,19
243,ALCACERES,Sector Grama,4.1574,-73.6427,3.8,6000,4000,10000,19
244,ESMERALDA,Sector Grama,4.159,-73.6414,4.5,6000,5000,11000,21
245,GRAMA,Sector Grama,4.1585,-73.6415,4.5,6000,5000,11000,21
246,ESCUELA DE CARABINEROS,Sector Grama,4.1592,-73.6454,4.5,6000,5000,11000,21
247,DOCE DE OCTUBRE,Sector Grama,4.1562,-73.6449,5.2,6000,6000,12000,23
248,SANTA JOSEFA MILITAR,Sector Grama,4.157,-73.6411,5.2,6000,6000,12000,23
249,SAN FELIPE,Sector Grama,4.155,-73.6412,5.2,6000,6000,12000,23
250,PANORAMA,Sector Grama,4.1572,-73.6403,5.2,6000,6000,12000,23
251,VIRREY,Sector Grama,4.1631,-73.642,5.2,6000,6000,12000,23
252,CAMPIÑA,Sector Grama,4.1547,-73.6439,5.2,6000,6000,12000,23
253,CHAPINERO BAJO,Sector Grama,4.1584,-73.64,5.2,6000,6000,12000,23
254,CHAPINERO ALTO,Sector Grama,4.154,-73.6413,5.2,6000,6000,12000,23
255,NUEVA GRANADA,Sector Grama Conjuntos Y Edificios,4.1563,-73.6426,4.5,6000,5000,11000,21
256,RONDINELA,Sector Grama Conjuntos Y Edificios,4.1578,-73.6379,4.5,6000,5000,11000,21
257,PRADERA,Sector Grama Conjuntos Y Edificios,4.1561,-73.6405,4.5,6000,5000,11000,21
258,Página 197,Sector Grama Conjuntos Y Edificios,4.1547,-73.638,4.5,6000,5000,11000,21
259,CONDOMINIO PUERTA DEL SOL,Sector Grama Conjuntos Y Edificios,4.1564,-73.6393,4.5,6000,5000,11000,21
260,CONJUNTO RESIDENCIAL,Sector Grama Conjuntos Y Edificios,4.1577,-73.6375,4.5,6000,5000,11000,21
261,"CAMBULOS 1,2,3",Sector Grama Conjuntos Y Edificios,4.1607,-73.6465,4.5,6000,5000,11000,21
262,COJUNTO RESIDENCIAL SAN,Sector Grama Conjuntos Y Edificios,4.1593,-73.6444,4.5,6000,5000,11000,21
263,"ANGEL 1,2",Sector Grama Conjuntos Y Edificios,4.1596,-73.6445,4.5,6000,5000,11000,21
264,CONJUNTO PRADROS DE SAN,Sector Grama Conjuntos Y Edificios,4.1618,-73.645,5.2,6000,6000,12000,23
265,FRANCISCO,Sector Grama Conjuntos Y Edificios,4.1574,-73.6392,5.2,6000,6000,12000,23
266,"SAN ANGEL 1,2",Sector Grama Conjuntos Y Edificios,4.1555,-73.6367,5.2,6000,6000,12000,23
267,"LOS CAMBULOS 1,2,3",Sector Grama Conjuntos Y Edificios,4.1593,-73.6369,5.2,6000,6000,12000,23
268,PANORAMA DEL CAMPO,Sector Grama Conjuntos Y Edificios,4.161,-73.6368,5.2,6000,6000,12000,23
269,LA ARENERA,Sector Caudal,4.1606,-73.6374,3.8,6000,4000,10000,19
270,CAUDAL,Sector Caudal,4.1595,-73.638,3.8,6000,4000,10000,19
271,CONJUNTO TRIANGULO,Sector Caudal,4.1621,-73.6388,3.8,6000,4000,10000,19
272,EDIFICIO MONTEBELLO,Sector Caudal,4.164,-73.6412,3.8,6000,4000,10000,19
273,"TORRES DEL CAUDAL 1,2",Sector Caudal,4.1595,-73.638,3.8,6000,4000,10000,19
274,Página 198,Sector Caudal,4.1624,-73.6352,3.8,6000,4000,10000,19
275,TERRAZAS DEL LLANO,Sector Caudal,4.1639,-73.6342,3.8,6000,4000,10000,19
276,TORRRES CLUB,Sector Caudal,4.1643,-73.6356,3.8,6000,4000,10000,19
