id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
141,BARRIO VILLA DEL ALCARABAN,Sector Terminal,4.1312,-73.6332,2.6,6000,4000,10000,19
142,URBANIZACION CALATRABA,Sector Terminal,4.1237,-73.6323,2.8,6000,4000,10000,19
143,TERRA VERDE,Sector Terminal,4.1297,-73.6255,1.8,6000,4000,10000,19
144,ALAMEDA DEL BOSQUE,Sector Terminal,4.1495,-73.631,1.0,6000,4000,10000,19
145,REMANSOS DEL LLANO,Sector Terminal,4.1281,-73.6266,1.9,6000,4000,10000,19
146,SAN GERARDO,Sector Terminal,4.13,-73.6339,2.3,6000,4000,10000,19
147,TERRA VELA,Sector Terminal,4.1251,-73.6248,2.7,6000,4000,10000,19
148,AMARILO MORICHAL,Sector Amarilo,4.108,-73.605,5.3,6000,8000,14000,26
149,AMARILO CIMARON,Sector Amarilo,4.108,-73.605,5.3,6000,8000,14000,26
150,AMARILO ALBORADA,Sector Amarilo,4.108,-73.605,5.3,6000,8000,14000,26
151,AMARILO PIEDEMONTE,Sector Amarilo,4.108,-73.605,5.3,6000,8000,14000,26
152,AMARILO ARAUCO,Sector Amarilo,4.108,-73.605,5.3,6000,8000,14000,26
153,AMARILO ZAINOS,Sector Amarilo,4.108,-73.605,5.3,6000,8000,14000,26
154,"AMARILO PASOLLONO 1,2,3,4",Sector Amarilo,4.108,-73.605,5.3,6000,8000,14000,26
155,AMARILO ALCARABN,Sector Amarilo,4.108,-73.605,5.3,6000,7000,13000,24
156,AMARILO MAPIRE,Sector Amarilo,4.108,-73.605,5.3,6000,7000,13000,24
157,AMARILO OCARROS,Sector Amarilo,4.108,-73.605,5.3,6000,7000,13000,24
158,AMARILO ARBOLEDA CAMPESTRE,Sector Amarilo,4.108,-73.605,5.3,6000,7000,13000,24
159,AMARILO PRADO VERDE,Sector Amarilo,4.108,-73.605,5.3,6000,7000,13000,24
160,AMARILO ARBOLEDA CAMPESTRE IV 4,Sector Amarilo,4.108,-73.605,5.3,6000,7000,13000,24
161,"AMARILO LLANO ALTO 1,2,3,4",Sector Amarilo,4.108,-73.605,5.3,6000,7000,13000,24
162,VILLA HERMOSA,Sector Amarilo,4.1117,-73.6067,5.1,6000,7000,13000,24
163,CONDOMINIO CAMPSTRE CARACOLI,Sector Amarilo,4.1042,-73.6046,4.7,6000,7000,13000,24
164,GIMNASIO LOS ALCAZARES,Sector Amarilo,4.1116,-73.601,5.4,6000,7000,13000,24
165,LAS MERCEDES,Sector Amarilo,4.1058,-73.6067,5.2,6000,7000,13000,24
166,"MULTIFA CENTAUROS BLOQUE A,B,C,D",Sector Los Centauros,4.1082,-73.6091,5.2,6000,8000,14000,26
167,PORTALES DE GRATAMIRA,Sector Los Centauros,4.1122,-73.6074,4.8,6000,8000,14000,26
168,BALCONES DE GRATAMIRA,Sector Los Centauros,4.1082,-73.6135,4.8,6000,8000,14000,26
169,"TORRES DE SALERMO 1,2",Sector Los Centauros,4.1141,-73.6111,4.5,6000,8000,14000,26
170,CONDOMINIO SANTA ANA,Sector Los Centauros,4.1165,-73.6093,4.0,6000,7000,13000,24
171,CONDOMINIO LA FONTANA,Sector Los Centauros,4.1143,-73.6131,4.6,6000,7000,13000,24
172,CONDOMINIO SANTA PAULA,Sector Los Centauros,4.1079,-73.6091,5.2,6000,7000,13000,24
173,PRADOS DE MAVICURE,Sector Los Centauros,4.11,-73.6072,4.7,6000,7000,13000,24
174,UNIVERSIDAD UNIMINUTO,Sector Los Centauros,4.1123,-73.6113,4.4,6000,7000,13000,24
175,CANCHA SINTETICA QUARZO,Sector Los Centauros,4.1146,-73.6146,5.1,6000,7000,13000,24
176,RENAULT CASATORO,Sector Los Centauros,4.1155,-73.6112,4.7,6000,7000,13000,24
177,CHEVROLET,Sector Los Centauros,4.1074,-73.6075,4.7,6000,7000,13000,24
178,NISSAN,Sector Los Centauros,4.1079,-73.612,4.3,6000,7000,13000,24
179,SUZUKI ALCALA MOTOR,Sector Los Centauros,4.1133,-73.6147,5.1,6000,7000,13000,24
180,CANCHA MONACO,Sector Los Centauros,4.1086,-73.6136,4.6,6000,7000,13000,24
