id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
127,Página 98,Sector Terminal,4.1258,-73.6313,2.5,6000,3000,9000,17
128,"CONJUNTO LOS ALMENDROS 1,2",Sector Terminal,4.1282,-73.6285,2.4,6000,3000,9000,17
129,CAMINOS DE SEVILLA,Sector Terminal,4.123,-73.6323,2.7,6000,3000,9000,17
130,LLANO HERMOSO,Sector Terminal,4.1307,-73.6278,2.7,6000,3000,9000,17
131,"CONJUNTO BONNANZA 1,2",Sector Terminal,4.1284,-73.6321,2.5,6000,3000,9000,17
132,RINCON DEL LLANO,Sector Terminal,4.1307,-73.6338,2.3,6000,3000,9000,17
133,TORRES DEL MEDITERRENO,Sector Terminal,4.1295,-73.6313,2.4,6000,3000,9000,17
134,TERMINAL DE TRANSPORTE,Sector Terminal,4.128,-73.629,2.2,6000,3000,9000,17
135,"QUINTA DE MORELIA 1,2,3",Sector Terminal,4.1288,-73.628,2.6,6000,3000,9000,17
136,CONDOMINIO VILLAVENTO,Sector Terminal,4.1235,-73.6325,1.9,6000,3000,9000,17
137,CONDOMINIO CIUDAD REAL,Sector Terminal,4.1296,-73.6266,2.1,6000,3000,9000,17
138,TORRES DE PRADERA,Sector Terminal,4.1267,-73.6249,2.5,6000,3000,9000,17
139,CONDOMINIO VILLA VALERIA,Sector Terminal,4.1265,-73.6269,2.1,6000,3000,9000,17
140,CONDOMINIO CANAGUAY,Sector Terminal,4.1258,-73.6316,1.7,6000,3000,9000,17
141,JARDINES DE SANTORINE,Sector Terminal,4.1307,-73.6281,2.5,6000,3000,9000,17
142,Página 99,Sector Terminal,4.1291,-73.6277,1.7,6000,3000,9000,17
143,LLANO REAL CLUB HOUSE,Sector Terminal,4.128,-73.6272,1.8,6000,4000,10000,19
144,PALMAS DE VALLARTA,Sector Terminal,4.1251,-73.6273,2.1,6000,4000,10000,19
145,CONJUNTO TERRABELA,Sector Terminal,4.1292,-73.6276,2.7,6000,4000,10000,19
146,BOSQUES DE MORELIA,Sector Amarilo,4.1079,-73.6013,4.6,6000,9000,15000,28
147,"NUEVA ESPERANZA 1,2",Sector Amarilo,4.1078,-73.6065,4.5,6000,9000,15000,28
148,CONDOMINIO SIENDA MANOY,Sector Amarilo,4.1082,-73.6035,5.3,6000,9000,15000,28
149,QUINTAS DE SANTA CLARA,Sector Amarilo,4.1044,-73.6067,4.9,6000,9000,15000,28
150,BARRIO VILLA DEL ALCARABAN,Sector Amarilo,4.1112,-73.6092,5.5,6000,9000,15000,28
151,URBANIZACION CALATRABA,Sector Amarilo,4.1037,-73.6083,5.6,6000,9000,15000,28
152,TERRA VERDE,Sector Amarilo,4.1097,-73.6015,4.6,6000,9000,15000,28
153,ALAMEDA DEL BOSQUE,Sector Amarilo,4.1495,-73.631,1.0,6000,9000,15000,28
154,REMANSOS DEL LLANO,Sector Amarilo,4.1081,-73.6026,5.0,6000,9000,15000,28
155,SAN GERARDO,Sector Amarilo,4.11,-73.6099,5.3,6000,9000,15000,28
156,TERRA VELA,Sector Amarilo,4.1051,-73.6008,5.7,6000,9000,15000,28
157,AMARILO MORICHAL,Sector Amarilo,4.108,-73.605,5.2,6000,9000,15000,28
158,AMARILO CIMARON,Sector Amarilo,4.108,-73.605,5.2,6000,9000,15000,28
159,Página 100,Sector Amarilo,4.1108,-73.6084,5.5,6000,9000,15000,28
160,AMARILO ALBORADA,Sector Amarilo,4.108,-73.605,5.2,6000,9000,15000,28
161,AMARILO PIEDEMONTE,Sector Amarilo,4.108,-73.605,5.2,6000,9000,15000,28
162,AMARILO ARAUCO,Sector Amarilo,4.108,-73.605,5.2,6000,9000,15000,28
163,AMARILO ZAINOS,Sector Amarilo,4.108,-73.605,5.2,6000,9000,15000,28
164,"AMARILO PASOLLONO 1,2,3,4",Sector Amarilo,4.108,-73.605,5.2,6000,9000,15000,28
165,AMARILO ALCARABN,Sector Amarilo,4.108,-73.605,5.2,6000,7000,13000,24
166,AMARILO MAPIRE,Sector Amarilo,4.108,-73.605,5.2,6000,7000,13000,24
167,AMARILO OCARROS,Sector Amarilo,4.108,-73.605,5.2,6000,7000,13000,24
168,AMARILO ARBOLEDA CAMPESTRE,Sector Amarilo,4.108,-73.605,5.2,6000,7000,13000,24
169,AMARILO PRADO VERDE,Sector Amarilo,4.108,-73.605,5.2,6000,7000,13000,24
170,AMARILO ARBOLEDA CAMPESTRE IV 4,Sector Amarilo,4.108,-73.605,5.2,6000,7000,13000,24
171,"AMARILO LLANO ALTO 1,2,3,4",Sector Amarilo,4.108,-73.605,5.2,6000,7000,13000,24
172,VILLA HERMOSA,Sector Amarilo,4.1117,-73.6067,5.0,6000,10000,16000,30
173,CONDOMINIO CAMPSTRE CARACOLI,Sector Amarilo,4.1042,-73.6046,4.5,6000,10000,16000,30
174,GIMNASIO LOS ALCAZARES,Sector Amarilo,4.1116,-73.601,5.2,6000,11000,17000,31
175,LAS MERCEDES,Sector Los Centauros,4.1098,-73.6117,4.4,6000,8000,14000,26
176,Página 101,Sector Los Centauros,4.1082,-73.6142,4.0,6000,8000,14000,26
177,MULTIFAMILIARES CENTAUROS BLOQUE,Sector Los Centauros,4.1147,-73.6118,4.3,6000,8000,14000,26
178,"A,B,C,D",Sector Los Centauros,4.1093,-73.6114,4.7,6000,8000,14000,26
179,PORTALES DE GRATAMIRA,Sector Los Centauros,4.1122,-73.6074,4.6,6000,8000,14000,26
180,BALCONES DE GRATAMIRA,Sector Los Centauros,4.1082,-73.6135,4.7,6000,8000,14000,26
181,"TORRES DE SALERMO 1,2",Sector Los Centauros,4.1141,-73.6111,4.3,6000,8000,14000,26
182,CONDOMINIO SANTA ANA,Sector Los Centauros,4.1165,-73.6093,3.9,6000,8000,14000,26
183,CONDOMINIO LA FONTANA,Sector Los Centauros,4.1143,-73.6131,4.5,6000,8000,14000,26
184,CONDOMINIO SANTA PAULA,Sector Los Centauros,4.1079,-73.6091,5.0,6000,8000,14000,26
185,PRADOS DE MARICURE,Sector Los Centauros,4.1078,-73.6079,4.4,6000,8000,14000,26
186,UNIVERSIDAD UNIMINUTO,Sector Los Centauros,4.1123,-73.6113,4.2,6000,8000,14000,26
187,CANCHA SINTETICA QUARZO,Sector Los Centauros,4.1146,-73.6146,4.9,6000,8000,14000,26
188,RENAUULT CASATORO,Sector Los Centauros,4.1135,-73.6097,4.8,6000,8000,14000,26
189,CHEVROLET,Sector Los Centauros,4.1074,-73.6075,4.5,6000,8000,14000,26
190,NISSAN,Sector Los Centauros,4.1079,-73.612,4.2,6000,8000,14000,26
191,SUZUKI ALCALA MOTOR,Sector Los Centauros,4.1133,-73.6147,5.0,6000,7000,13000,24
192,Página 102,Sector Los Centauros,4.1098,-73.6055,5.0,6000,7000,13000,24
193,CANCHA MONACO,Sector Los Centauros,4.1086,-73.6136,4.5,6000,7000,13000,24
194,BAR TERRAZA,Sector Los Centauros,4.116,-73.6066,4.5,6000,7000,13000,24
195,7 DE AGOSTO,Sector Barzal,4.1469,-73.64,1.0,6000,4000,10000,19
196,BARZAL BAJO,Sector Barzal,4.1442,-73.6365,0.9,6000,5000,11000,21
197,BARZAL ALTO,Sector Barzal,4.1435,-73.6375,1.1,6000,5000,11000,21
