sector,barrio,tarifa_base,tarifa_total,tiempo_estimado,distancia_aprox_km
SECTOR SUR ROCHELA,$ 8.000,8000,8000,25-35 min,3.8
SECTOR OLLAS PELIGRO,GUATIQUIA,16000,16000,25-35 min,9.2
SECTOR OLLAS PELIGRO,$ 20.000,20000,20000,25-35 min,11.8
SECTOR PORFIA,$ 22.000,22000,22000,25-35 min,13.2
SECTOR PORFIA,$ 23.000,19000,19000,25-35 min,11.2
SECTOR PORFIA,$ 19.000,23000,23000,25-35 min,13.8
SECTOR PORFIA,CIUDAD PORFIA,16000,16000,25-35 min,9.2
SECTOR PORFIA,$ 25.000,23000,23000,25-35 min,13.8
SECTOR PORFIA,$ 30.000,25000,25000,25-35 min,15.2
SECTOR SALIDA PUERTO LOPEZ,EL CAIRO,25000,25000,25-35 min,15.2
SECTOR SALIDA PUERTO LOPEZ,HACHON SENA,15000,15000,25-35 min,8.5
SECTOR SALIDA PUERTO LOPEZ,AEROPUERTO,20000,20000,25-35 min,11.8
SECTOR VEREDA EL CAIRO,NTRO,22000,22000,25-35 min,13.2
SECTOR VEREDA EL CAIRO,CONDOMINIO LA QUINTA CAIRO,11000,11000,25-35 min,5.8
SECTOR VEREDA EL CAIRO,CENTRO COMERCIAL UNICO,10000,10000,25-35 min,5.2
SECTOR HOTELERO VIA MARACOS,HOTEL RUBIALES,9000,9000,25-35 min,4.5
SECTOR CENTRO,HOTEL EL TERMINAL,9000,9000,25-35 min,4.5
SECTOR HOTELERO CENTRO,HOTEL INAMBU,10000,10000,25-35 min,5.2
SECTOR HOTELERO CENTRO,HOTEL PLAZA GAVAN,11000,11000,25-35 min,5.8
SECTOR HOTELERO LLANO LINDO,HOTEL VIMAR,12000,12000,25-35 min,6.5
SECTOR HOTELERO BARSAL,HOTEL CASA CAMAO,10000,10000,25-35 min,5.2
SECTOR MOTELES,MOTEL PASHA,22000,22000,25-35 min,13.2
SECTOR UNIVERSIDADES,UNIVERSIDAD DE LOS LLANOS EMPORIO,10000,10000,25-35 min,5.2
SECTOR DE COLEGIOS,UBLICAS,9000,9000,25-35 min,4.5
SECTOR PARQUES,RESTAUTES,11000,11000,25-35 min,5.8
SECTOR BANCARIO DEL CENTRO,BANCO AGRARIO CENTRO,10000,10000,25-35 min,5.2
